,,2021_2023,2024
age,count,81148.0,26506.0
age,mean,3.48012273869966,3.4763827058024597
age,std,2.7785378025728487,2.796511392714916
age,min,1.0,1.0
age,25%,1.0,1.0
age,50%,3.0,3.0
age,75%,4.0,4.0
age,max,12.0,11.0
monthly_income,count,30192.0,9775.0
monthly_income,mean,41.80514705882353,42.34618925831202
monthly_income,std,13.082743681835675,12.746992951167023
monthly_income,min,2.0,2.0
monthly_income,25%,40.0,40.0
monthly_income,50%,40.0,40.0
monthly_income,75%,48.0,48.0
monthly_income,max,110.0,110.0
paid_hours_week,count,21897.0,7231.0
paid_hours_week,mean,2.8694341690642555,3.1452081316553726
paid_hours_week,std,2.4028598565073187,2.519345110786195
paid_hours_week,min,1.0,1.0
paid_hours_week,25%,1.0,1.0
paid_hours_week,50%,1.0,2.0
paid_hours_week,75%,6.0,6.0
paid_hours_week,max,7.0,7.0
unpaid_dom_hours,count,63393.0,20919.0
unpaid_dom_hours,mean,1.8554099033016265,1.8442564176107845
unpaid_dom_hours,std,0.3516898516163268,0.3626207451166887
unpaid_dom_hours,min,1.0,1.0
unpaid_dom_hours,25%,2.0,2.0
unpaid_dom_hours,50%,2.0,2.0
unpaid_dom_hours,75%,2.0,2.0
unpaid_dom_hours,max,2.0,2.0
